year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,NE,RNCAL01,UALFAR40,170,0,13.43,1536,6.68,,,,1536,20.17,,,
2017,5,MG,RNCMG04,UMGJZF15,170,0,5.2,1536,2.91,,,,1536,12.38,,,
2017,5,PRSC,RNCSC02,NS01SCBCU03,,0,0,,,,,,,,,,
2017,5,CO,RNCRO01,WROPVO01,170,0,28.35,1536,13.69,,,,1536,39.98,,,
2017,5,PRSC,RNCPR02,UPRPGO06,170,0,5.09,1536,2.89,,,,1536,10.23,,,
2017,5,PRSC,RNCPR02,UPRSJP03,100,0,6.39,768,5.01,,,,576,19.8,,,
2017,5,NE,RNCPE04,UPEIPS29,100,0,18.03,768,11.04,,,,576,39.9,,,
2017,5,CO,RNCGO05,NS01GOSCQ06,,0,0,,,,,,,,,,
2017,5,NE,RNCPE04,UPECGB07,100,0,10.03,768,7.44,,,,576,30.26,,,
2017,5,CO,RNCTO01,NS01TOGUR01,,0,0,,,,,,,,,,
2017,5,MG,RNCMG06,UMGULA18,120,0,4.75,768,3.33,,,,768,10.25,,,
2017,5,CO,RNCGO05,NS01GOALX04,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR03,UPRLDA29,100,0,5.33,768,2.58,,,,576,9.71,,,
2017,5,ES,RNCES01,UESSER27,170,0,3.75,1536,2,,,,1536,5.46,,,
2017,5,NE,RNCCE02,UCECZW01,170,0,2.01,1536,1.15,,,,1536,4.57,,,
2017,5,NE,RNCRN01,NS01RNMCI10,,0,0,,,,,,,,,,
2017,5,PRSC,RNCPR01,UPRQBS01,900,0,1.97,2304,2.73,,,,1536,14.36,,,
2017,5,MG,RNCMG01,UMGSAV11,580,0,2.77,1536,5.28,,,,1536,17.14,,,
2017,5,BASE,RNCBA04,UBACSW01,700,0,0.51,1536,1.24,,,,1024,6.39,,,
2017,5,MG,RNCMG01,UMGFTA01,170,0,1.73,1536,0.85,,,,1536,2.65,,,
2017,5,PRSC,RNCPR05,NS01PRTOO11,,0,0,,,,,,,,,,
2017,5,MG,RNCMG02,UMGCTG26,580,0,1.83,1536,3.1,,,,1536,10.21,,,
2017,5,PRSC,RNCPR04,NS01PRPOT01,,0,0,,,,,,,,,,
